author_id,category_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,3
12,3
13,4
14,4
15,5
16,4
17,1
18,6
19,6
20,7
21,7
22,7
23,7
24,7
25,1
26,1
27,1
28,1
29,1
30,8
31,8
32,1
33,1
34,1
35,8
36,8
37,8
38,8
39,8
40,1
41,1
42,1
43,1
44,4
45,4
46,4
47,4
48,4
49,4
50,9
51,9
52,9
53,1
54,1
55,1
56,3
57,3
58,4
59,6
60,5
61,5
62,4
63,4
64,4
65,4
66,4
67,2
68,6
69,9
70,9
71,9
72,7
73,2
74,2
75,2
76,2
77,2
78,2
79,5
80,5
81,9
82,9
83,2
84,9
85,9
86,4
87,6
88,9
89,6
90,4
91,9
92,9
93,9
94,9
95,4
96,4
97,4
98,4
99,4
100,8
101,8
102,8
103,8
104,8
105,3
106,9
107,2
108,2
109,5
110,5
111,3
112,3
113,1
114,3
115,3
116,3
117,3
118,3
119,9
120,5
121,5
122,3
123,1
124,1
125,7
126,9
127,7
128,7
129,7
130,9
131,9
132,9
133,9
134,4
135,4
136,4
137,4
138,4
139,4
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,6
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,4
158,4
159,1
160,1
161,1
162,6
163,6
164,6
165,6
166,6
167,1
168,1
169,1
170,1
171,9
172,5
173,5
174,5
175,6
176,7
177,7
178,7
179,1
180,1
181,1
182,1
183,1
184,1
185,5
186,5
187,5
188,4
189,4
190,4
191,4
192,4
193,5
194,5
195,5
196,5
197,9
198,9
199,1
200,1
201,1
202,10
203,2
204,2
205,3
206,6
207,6
208,10
209,11
210,11
211,1
212,1
213,1
214,4
215,4
216,4
217,8
218,8
219,8
220,5
221,1
222,1
223,10
224,1
225,1
226,1
227,5
228,5
229,4
230,4
231,4
232,4
233,4
234,10
235,9
236,6
237,6
238,1
239,1
240,1
241,1
242,1
243,1
244,10
245,5
246,5
247,6
248,9
249,9
250,4
251,4
252,9
253,9
254,9
255,10
256,10
257,10
258,2
259,2
260,2
261,2
262,1
263,1
264,4
265,4
266,4
267,4
268,7
269,6
270,6
271,6
272,4
273,4
274,4
275,4
276,12
277,12
278,7
279,7
280,7
281,7
282,7
283,7
284,4
285,3
286,9
287,9
288,9
289,7
290,4
291,9
292,9
293,9
294,4
295,4
296,4
297,4
298,1
299,2
300,2
301,9
302,9
303,2
304,4
305,4
306,4
307,4
308,7
309,3
310,3
311,3
312,4
313,4
314,4
315,7
316,7
317,7
318,2
319,2
320,7
321,9
322,9
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,4
331,1
332,1
333,1
334,3
335,3
336,3
337,4
338,4
339,4
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,4
348,9
349,9
350,1
351,1
352,1
353,7
354,7
355,1
356,4
357,4
358,4
359,4
360,4
361,4
362,1
363,1
364,5
365,4
366,4
367,4
368,1
369,1
370,1
371,1
372,5
373,4
374,4
375,4
376,1
377,1
378,1
379,1
380,1
381,1
382,9
383,9
384,9
385,9
386,6
387,6
388,1
389,1
390,1
391,4
392,5
393,5
394,5
395,6
396,6
397,3
398,3
399,3
400,4
401,4
402,4
403,4
404,3
405,3
406,4
407,6
408,6
409,1
410,13
411,13
412,4
413,4
414,4
415,3
416,3
417,3
418,6
419,6
420,6
421,3
422,3
423,9
424,9
425,9
426,9
427,9
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,5
436,5
437,5
438,5
439,10
440,10
441,10
442,10
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,6
455,3
456,4
457,4
458,4
459,11
460,11
461,11
462,11
463,11
464,2
465,1
466,1
467,4
468,4
469,4
470,10
471,9
472,5
473,5
474,4
475,4
476,4
477,2
478,2
479,6
480,6
481,3
482,3
483,7
484,3
485,3
486,7
487,3
488,3
489,3
490,9
491,9
492,9
493,2
494,9
495,9
496,6
497,6
498,7
499,7
500,6
501,6
502,3
503,3
504,7
505,7
506,9
507,9
508,9
509,9
510,9
511,1
512,1
513,2
514,3
515,3
516,3
517,4
518,2
519,2
520,2
521,2
522,2
523,3
524,3
525,7
526,2
527,2
528,3
529,3
530,3
531,2
532,5
533,5
534,5
535,5
536,14
537,6
538,6
539,6
540,6
541,6
542,4
543,10
544,10
545,10
546,5
547,6
548,6
549,2
550,2
551,5
552,5
553,14
554,14
555,6
556,6
557,6
558,15
559,15
560,15
561,3
562,3
563,3
564,1
565,2
566,2
567,3
568,3
569,10
570,10
571,10
572,14
573,2
574,2
575,3
576,7
577,7
578,2
579,7
580,7
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,10
591,10
592,1
593,1
594,15
595,9
596,9
597,2
598,2
599,2
600,9
601,5
